ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2688,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-011,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,11/14/2022,6/12/2020,6/11/2030
2689,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-012,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,12/7/2022,1/4/2021,1/3/2031
2690,Madagascar Improved Cook Stove Project by KCM-Wood#CPA-W-013,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Madagascar,37950,Africa,12/15/2022,9/8/2020,9/7/2030
2673,UpEnergy-Social and Climate Impact Programme- Nigeria-1,UpEnergy Group,Energy demand,,VMR0006,Registered,Nigeria,1633731,Africa,4/26/2024,5/7/2022,5/6/2029
2676,Community Carbon Efficient Cooking Programme - Tanzania-1,Community Carbon,Energy demand,,VMR0006,Registered,Tanzania,933092,Africa,9/26/2023,4/22/2022,4/21/2029
2671,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 009,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,51880,Asia,1/16/2023,10/18/2021,10/17/2031
2672,Viet Nam Improved Cookstove Project by KCM – Improved Cookstove Project in Thanh Hoa Province – CPA 010,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Viet Nam,51880,Asia,1/12/2023,10/18/2021,10/17/2031
2664,Installation of High Efficient Cook Stoves by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,VMR0006,Registered,India,211856,Asia,11/23/2022,2/15/2020,2/14/2027
2659,Ruijing Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,495289,Asia,10/7/2022,11/1/2020,10/31/2030
2657,SHINE – Distribution of LED Lightbulbs in India-3,Multiple Proponents,Energy demand,,AMS-II.C.,Registered,India,55046,Asia,11/29/2022,3/6/2020,3/5/2030
2658,SHINE – Distribution of LED Lightbulbs in India-4,Brightspark Energy Pvt. Ltd.,Energy demand,,AMS-II.C.,Registered,India,54629,Asia,11/29/2022,8/12/2018,8/11/2028
2655,IMPROVED COOK STOVE PROGRAMME IN FIJI – CPA01,Korea Carbon Management Ltd,Energy demand,,AMS-II.G.,Registered,Fiji,2505,Oceania,1/17/2023,2/12/2020,2/11/2027
2647,Reforestation grouped project Norteak Nicaragua,Norteak Nicaragua S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Nicaragua,6357,Latin America,12/1/2022,6/17/2016,6/16/2046
2649,HOUSING DECARBONISATION IN THE UNITED KINGDOM,PNZ  CARBON LIMITED,Energy demand,,VM0008,Registered,United Kingdom,69,Europe,1/19/2023,7/1/2022,6/30/2029
2645,BALIKESİR LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Turkey,334919,Middle East,10/26/2022,10/27/2019,10/26/2026
2639,Feitian 11 & Dabatian CMM Power Generation Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,307867,Asia,9/22/2022,1/2/2021,1/1/2031
2635,Luohe Geothermal Based Space Heating System,"Wanjiang New Energy Group Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,481744,Asia,8/15/2022,11/1/2020,10/31/2030
