ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3576,Ban Odisha 01,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3577,Ban Odisha 02,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3578,Ban Odisha 03,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3579,Ban Odisha 04,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3580,Ban Odisha 05,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3582,Ban Odisha 06,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3583,Ban Odisha 07,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3584,Ban Odisha 08,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3585,Ban Odisha 09,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3586,Ban Odisha 10,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,"15,671",Asia,,1/1/2015,12/31/2034
3534,7.81MW solar power project by AMPSolar Generation Private Limited,AMPSolar Generation Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registered,India,"11,212",Asia,6/6/2024,12/26/2020,12/25/2027
3460,LED distribution project by EKI Energy Services Limited,EKI Energy Services Limited,Energy demand,,AMS-II.C.,Registered,India,"18,778",Asia,7/16/2024,9/24/2022,9/23/2029
3472,Improved Cropland Management Project in Guyuan,"Gansu Hongmao Agriculture Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Withdrawn,China,"160,000",Asia,,1/1/2019,12/31/2118
3455,Enhancing livelihood of rural communities in India through improved cook stoves by Shri Maa,Shri Maa Marketing Private Limited,Energy demand,,VMR0006,Registered,India,"87,147",Asia,11/20/2024,8/1/2022,7/31/2029
3456,Fujian Datian Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,"135,193",Asia,,1/31/2020,1/30/2050
3452,Sichuan Huili Improved Forest Management Project,Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,VM0010,Rejected by Administrator,China,"126,366",Asia,,12/1/2019,11/30/2039
3453,ITABU REDD+ PROJECT IN ZAMBIA,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Registration and verification approval request denied,Zambia,"9,326,725",Africa,,1/1/2018,12/31/2067
3433,Guiyang Afforestation Project,"Guiyang Forestry Industry Development Co., Ltd",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"81,672",Asia,,4/12/2018,4/11/2048
3448,LANDFILL GAS COLLECTION AND UTILIZATION AT THE MARCA CARIACICA – II LANDFILL,MARCA CONSTRUTORA E SERVIÇOS LTDA,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,Brazil,"410,159",Latin America,5/30/2023,10/15/2020,10/14/2027
3407,Heyuan Dengta Landfill Gas Power Generation Project,"Shenzhen PhasCon Technologies Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"139,586",Asia,5/17/2024,1/1/2023,12/31/2029
3413,Installation of high efficiency cookstoves in India by AGS Carbon – Project 2,AGS Carbon Advisory,Energy demand,,VMR0006,Registered,India,"333,938",Asia,1/4/2024,6/10/2023,6/9/2030
3395,"Carbon Sink Afforestation Project in Tongyu County, Jilin Province",Forestry Bureau of Tongyu County,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Withdrawn,China,"58,791",Asia,,4/1/2015,3/31/2035
3393,Hubei Jiulong PET Recycling Project,"Hubei Jiulong Recycling Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ.,Registered,China,"58,092",Asia,6/21/2023,3/2/2021,3/1/2028
3387,Sichuan Santai Improved Forest Management Project,Santai Shengda Development Co. LTD,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration request denied,China,"36,867",Asia,,7/28/2019,7/27/2039
